sentence,translation
まさか…あの行列に並ぶのか？,Don't tell me we are going to stand in that line?
…チャンスだ 警備が正面に集中するらしい。,It's our chance. Defence seems to be concentrated in the front gates.
歪んだ絵画,Distorted painting
マジか、この人数ぜんぶか？ 前に屋敷に行った時は…,Really, this number of people, all of them? That time when we were at his residence before...
何かの冊子が置かれている…,Some sort of booklet is put there...
パレスのくせに芸が細けえよな… こんなもん、無視でいいだろ？,Despite it being in the palace the technique is careful(detailed)... Do you really want to ignore that thing?
近接武器で攻撃,Attack with the close ranged weapon
まだ来る！？注意しろ！,They are still coming!? Be careful!
「無限の泉」…?,Spring of eternity..?
みんなの意見は？,What's your opinion, everyone?
モデルの話受ければ、 真相、聞けるかもしれないし。,If I accept his modeling offer, I might be able to hear the truth from him.
「怪盗団」としての初陣だ。 ゼッテー成功させんぞ！,It's our first campaign as Phantom Thieves. We'll definitely make it a successful!
ユースケが真実を語らない理由か…,The real reason Yusuke doesn't tell us the truth is...
俺らがやろうとしてることって、 喜多川にとって、お節介なのかな...?,If we were to do it, then wouldn't it be meddling? For Kitagawa?
パレスで見たこと、 ホントかどうか喜多川くんに確認しないと,Things we saw in the palace. I have to confirm from Kitagawa-kun whether they are true or not.
班目の尻尾、掴んでやろうぜ。,Let's catch Madarame by his tail!
モデル引き受けたら、 喜多川くん、かなり喜んでくれてた。,Once I accepted his modeling proposal, Kitagawa-kun became quite delighted
監視だよ。 お前が変態なことしねえように。,We're monitoring. Cause you still might be a pervert.
妙な勘繰りはやめてくれ。 彼女に異性としての興味は一切ない。,Please stop with your weird suspicions. As a member of opposite sex I don't any interest to her whatsoever.
勘違いしないでくれよ？,But don't go taking wrong ideas, won't you?
被害者など、どこにもいない！ 身勝手な正義を押し付けるな！,There's no victim here or something like that anywhere! Don't impose your egoistical justice onto others!
二度と来るな… 次は迷惑行為で訴えてやる。,Don't come here ever again... Next time that (harassment/disruptive behaviour) happens - I'll sue you!
理想のモデルで裸婦画を描けるなんて...!,To be able to paint something like nude painting of such a ideal model...!
なんか、優しそうな感じだね。 ストーカーしてた印象ないよ。,Somehow I have kind of tender feeling. He doesn't give off the impression of a stalker.
逃げ出した私が言うのもなんだが、 自殺した兄弟子の悲劇は繰り返したくない...!,As if I'm to talk, the person who ran away, however I do not wish for this tragedy, when my brother disciple commited suicide...!
それに喜多川くんの本音も聞けたしね！,More than that we were able to hear what Kitagawa-kun really thinks!
それに…アン殿の貞操がかかってる！！,More than that...An-dono's virtue depends on it(success of the plan)!!
その上で「心を頂く」予告。 お宝を「実体化」させて、いただく。,On top of that we send a previous note where it says that we take the heart. And then we make the treasure materialize and take it!
だいぶ学習してるな、いいぞリュージ。,You have learned a lot! Nicely done, Ryuji!
けどモノを見れば、わがはいの直感で確実に分かる。,But then we see it, I'll surely understand what it is with my instincts.
今回の期限って、 個展が終わるまでなんだよね？,The deadline this time, it's until the end of his exhibition, right?
しまった、防犯装置だ！,Damn it, it's security equipment!
これ…例の赤外線だよね？ こんなの超えらんないじゃん…,This is...that infrared rays from before, aren't they? We won't be able to pass through that...
だが、これだけ厳重ってことは、 守りたいモノがこの先にあるって証拠だ。,But such a secure (defense) can only be a proof that there's something ahead that you want to protect
待て…あの奧の扉… あの柄…どっかで見たような…,Wait...That door in the center... It's like I've seen that design somewhere...
…そうか！　あそこだ！ あそこのフスマと同じだ、間違いない！,That's it! From there! It's the same as sliding door from that time, there's no mistaking it!
あれが現実の何処の扉の認知か、見当がついた。,I have a guess that this is a cognitive version of that door from somewhere in the real world.
指定したペルソナを持ってきたようですね。,You brought the assigned persona to us, huh?
それを面白がるとは、実は心外です。,To tell you the truth this interest that we feel is wholly unexpected.
まあ、断るの権利はない。,Well, you have no right to refuse(our offer).
実は、前に来たときに偵察してある。,To tell you the truth when we came here earlier I did some scouting.
つーか、屋敷に入んのも、どうやるかなー。 無理に入ったら今度は通報だし…,But I wonder how we can get in to the mansion this time... Because if we enter this time, we'll get reported to the police...
大丈夫、わがはいも同行する。,It's ok. I'll go with you.
あ、先生がここに睨んでるよ！,Ah, teacher is glaring at us!
パレスの中で待機して 扉が開いたら制御室みたいなのを探してくれ。,Stand in the palace and wait. If a door opens - look for something resembling a control room.
そお？　体重　変わってないんだけど。 むくんでんのかな？,You think so? But my weight hasn't changed...Maybe it's the swelling?
じゃあ、とりあえず… ここで…用意、いいか？,Now then, first of all....Are you ready for it?
開く気配、全然ねーぞ… もうすぐ班目が帰ってくんだよな？,There're no signs of it opening. Madarame is going to return any minute now, isn't he?
ぶっちゃけこの作戦、 うまくいったら奇跡じゃね？,To put it bluntly, if this operation goes well, it'll be a miracle, right?
お願い…二人っきりになりたいの。,Please...I want it to be just the two of us.
実は、借金を抱えている。,The thing is, I have debts.
でたらめを言うな！,Don't talk nonsense!
腐った悪党を改心させる集団…てことか。,We're the group who makes rotten villains have a change of heart...or something like that
事実は小説より奇なり…か。,The truth is stranger than a novel in it's own way...huh.
「心を盗む怪盗」…実在したとはな。,Phantom thieves stealing hearts...So they really do exist.
あ、成績もう出てんじゃん。,Ah, they posted results(of an exam) already.
良かったー！ 平均、超えてる！,That's a relief! It's above average(result)
強い欲望…「歪んだ主観」の持ち主が持ってる,(He must have) Strong desire...That is the distorted ego the owner must possess.
そーなんだよ、そこ若干クイズでよ。 今後チョイ厄介かも,Yeah, that...is somewhat a quiz. We had a lot of trouble with that this time
だが、ルート確保する為には、 セキュリティの解除は必要なステップだ。,However, in to secure a route terminating security is a necessary step.
パスワード承認… …セキュリティシステム…停止…,Password approved...Security systems have been stopped
確かに妙だが…行くしかない。 慎重にな、ジョーカー。,That's true it's strange but we have no choice but to go. Be careful, Joker.
おおー！ スカルお手柄だ。やるじゃねえか！,Oh! What a feat, Skull. Nicely done!
見た目通り、繋がりもが歪んでいるわけだな…,It is as it seems. The connection is distorted too huh...
思えば、贋作だらけこの黄金の空間は、 班目の頭にある錬金術そのものの具現化…,If you think about it, they're all but fakes, everything in this place. They're a materialization made possible by virtue of alchemy in Madarame's head.
所詮は幻だろうが、絵としては間違い。 さすがだな。,In the end it is a mere illusion, however as a painting it cannot be mistaken. Well done.
気を付けろよ？ 歪みがますます強くなってきてる…,Be careful, right? The distortion is beginning to get increasingly stronger
予告を出して、班目に「奪われる」と認識させりゃ おたからが実体化して、ヤッホーこんにちはよ。,"We'll send a calling card and Madarame's cognition will be made to realize the treasure can be stolen. It will materialize and will say ""Well, hello there!"""
ぬー？ 電源を触ったのは貴様たちか！,So it was you bastards who messed with electricity!
バトンタッチを受けた時の行動で 状態異常付着率が増加する,When you accept baton pass the next action will have increased rate for status effects to stick
アイツ、見るからに強敵だぞ。 準備はいいか？,From the looks of it, it's a strong enemy. Are you prepared?
いや、恐らく展示ホールの 仕掛けを操作する部屋だろう。,No, it's probably a room that controls all the mechanisms in the exhibition hall
これはフォックスの推理、当たりっぽいね！,So Fox's deduction now looks to be spot on!
警備の隙間…という事か。 しかしどうする？　飛び降りるか？,Crack in the defense as it seems. But what shall we do? Are we jumping down?
手分けするんだよ。制御室で電気を消す係と、 クレーンを操作する係と、降りるわがはい。,We'll split into groups. One will be in charge of turning off the electricity with the control room, the other will handle the crane. And I'll come down (on it).
励むがいい、囚人！,You better work hard, inmate!
全ては貴方のため。 態度を改めるべきです。,Everything is for your sake. You must change your attitude.
それでは、次の課題を言い渡します…,Well then, I'll announce the next assignment...
無礼な男ですね…,What an impolite man...
うし、多少不安はあるが…やるしかねえ。,Ok. I'm worrying a little but it cannot be helped.
ご返却ですね？,Do you want to return it(DVD)?
で、他に容疑は？ こっちも忙しいんだけど。,Well, any other suspicions? Because I'm a busy person too.
こりゃ、一気に注文が来るぞ。 忘れないように、しっかり記憶しろよ？,Well well, the orders come without stopping. Memorize them well so that you don't forget, ok?
私はこの国の現状を変えたい… それには君みたいな若者の力が必要なんだ。,I want to change status quo in this country. And in order to do that young people like you are necessary.
ああ、共感してもらえたかな？,Ah! You sympathized with that idea, didn't you?
これでも演説には、 多少、心得があるつもりだ。,Then you got some knowledge out of my speech and that's the intention.
僕が今、考えているのは、 精神…心が感じる「痛み」について。,Right now I'm thinking like talking about spirit...the pain that the heart feels.
具体的に言うと、ひどい言葉を投げられたり 大切な存在との別れだったりで感じる苦しさ…,If we are talking about concrete things. It's like if someone throwed harsh words in your face or if you were to part with your precious existence, the feeling that you would feel would be anguish.
身体の痛みであれば、怪我や病気の症状として 必要なものだと考える事はできる。,If you were to have symptoms of a physical pain, be it an injury or illness, we would be able to think of the necessary things (to cure it).
けどさ…例えば 失恋の痛みなんてどうかな。,Well, let's say how would it be if it's something like a broken heart.
心の傷は実際には目に見えなくて、 ある意味では身体の傷よりも複雑だ。,The thing with heart wounds is that they're unseen to the eye. In a sense these are more complicated than body wounds.
そんな、心が負ってしまう「痛み」に 苦しんでいる人を助ける為に僕の研究がある…,And my research exists in order to save the people who are suffering from the pain in the wounded heart
最大SPが５上がった。,Maximum SP increased by 5 points
戦闘開始時に、主人公にチャージ＆ コンセントレイトの効果を得ることがある,"At the start of the battle protagonist has a chance to get ""charge"" and ""concentrate"" effect"
仕事と研究の両立って結構ハードなんだよね。,It's rather hard for job and research to coexist, huh?
誰がお前なんかを当選させるか！,Who the hell will let someone like you get elected!
その未熟さから… 派手な連続スキャンダルを起こしてしまった。,Because of that inexperience I'd got myself in an flashy long lasting scandal...
...技術に興味がある,...I have an interest in that skill(public speech)
あ、じゃあさ、坂本君は普段何してるの？ 放課後とか、休日とか,Well, let's say...What are you usually do? After school and on holidays etc?
フォックスの合図…！ 準備OKって事ね…,Signal from Fox. So the preparations are OK...
ここは…中庭か！？,This is... A courtyard!?
人の欲望の塊に、あんな夢中になっちまうし...,The embodiment of human desires...I get so easily engrossed by it...
他にも、異世界での変身だって、わがはいだけ、 自由に猫に戻りたり、車にもなれたり…,More than that in other world, I'm the only one who can transform. To become a car at will and then go back to being a cat
調べてみたが、該当するような 事件は見つからない…,I looked into it but I can't find anything relevant to the incident...
おい、猫の誘拐事件に関わることかもしれないぞ。 詳しく話を聞いてみようぜ。,Hey, it might have something to do with cat kidnappings. Let's throughly ask him about that.
ターゲットを特定しました。 アジトで全会一致をしましょう。,You identified the target. Now unanimously decide in the hideout.
こないだ言ったでしょ？ 心を強くしたいって。,I told you the other day, right? That I want to make my heart strong.
ねえ… これでペルソナが強くなっても微妙じゃない？,Hey, don't you think that it's doubtful that persona will get stronger that way?
モデルの事務所から、業務連絡。,It was my model agency. They contacted me regarding work
両親、服のデザイナーで、 ファッションショーとか担当してるの。,My parents are clothing designers. They're responsible for fashion shows and stuff like that.
「家事代行サービス」！,Cleaning service! They will do all the domestic chores for us!
「可愛いメイドがあなたの為に何でも致します」…って！！,"It says: ""Our cute maids will do anything for you"""
家事代行業をうたう怪しいサービス… その実態を俺たちの目で見極めるんだよ！,Some sort of fishy service declaring that they do house chores... We better make sure of it with our own eyes. Let's find out how things truly are!
でしょ！？ もし詐欺なら、成敗しないと！,Right? And if that's a scam we'll have no choice but to punish them!
猫の爪って結構鋭いんだね…,Cat claw is rather sharp...
さて、今日は、そんな「痛み」について、 もっと違う角度で考えてみようと思うんだ。,"Well then, I think we can talk about that ""pain"" and try and look at it from an even more different angle"
目に見えない心を「痛み」を治療するって、 やっぱり難しくて…,Treating the pain of a heart you can't see is difficult, as expected.
ま、まるで燃えるような苦しさだ！,It's the sort of pain that feels like as if I was burning!
その問題を解決するためにも、僕は 人の心をもっと研究したい。,I order to find a solution to this problem I want to research people's hearts more.
し、知らねえよ！ 家事頼むのになん年齢とか…,I-I don't know! We only requested housework, what does it have to do with age and stuff like that?
ご主人様がお望みなら他にも色んな「ご奉仕」 させてもらっちゃうにゃん！,"If the master so desires then there're other ""Services"" that I can provide you, meow!"
鴨志田先生の事件のあと、 他の教師の裏の顔、探ってたからな。,After the incident with Kamoshida-sensei, she started spying on other teachers behind their back.
たっくさん人がいて、たっくさんお店があって、 すぐ近くに公園があって、鴨とかいて…,There're soo many people, sooo many stores and so close to it there's a park with ducks and things like that
それで、仲良くなって… その時から、志帆は一番大切な人。,And then we got along really well and since that time Shiho have been the most precious person to me.
ほら、ヒーローものの番組とかでも、 世界征服をたくらむ悪役っているでしょ？,Do you remember? it's like a program with lead hero where there're villains who are plotting world conquest.
それって、「折れない心」があるってことだよね。,"And they(heroes) have this ""Unbreakable heart"", don't they?"
アクション女優になる！,I'll become action actress!
将来のことあんまり考えてこなかったけど、 目標、1個できちゃった！,I didn't really think about the future much but I already got one goal!
目標できたよって、志帆に報告しなきゃ！,Because I got that goal, I have to tell it to Shiho!
明日はみんなで原宿かー。 寝坊しないようにもう寝ようぜ！,Tomorrow we meet everyone at Harajuku. Let's hit the bed to not oversleep!
原宿は今や世界のポップカルチャーの先端。 世界中から人が集まる街だろ？,Harajuku now is at the forefront of global pop culture. It's a town where people from all over the world gather, right?
ジョーカーは、個性的なファッションの人って どう思う？,Joker, what do you think people who have a personal fashion style?
わがはい、猫っぽいけど、 中身はよりもジェントルマンだからな！,I might look like a cat but deep inside I'm more of a gentleman than anyone!
前から思ってたけど、 あきらの猫…よく鳴くよな。,I thought about this before but your cat sure is making a lot of sounds, Akira.
列車暴走事故に、謎の意識不明現象、 教師が乱れる学校…,The runaway train incident, mysterious phenomenon with people being unconscious, school put in dissaray by a teacher...
大人世代が作った社会問題を 子供世代に押し付けること…,We push social problems created by generation of adults forward to young generation...
たとえ聴衆が多くても少なくても、 つねに一対一の気持ちで伝えなければいけないよ。,Be your audience on the bigger or on the smaller end, you always have to convey your speech with a feeling like it's one-to-one
信念のある政治家,(I want to become) Politician that has convictions
今日は清掃活動だな。,Today we have some cleaning to do, right?
見て見ぬふりはできない,I can't just look at that and pretend I don't see it
班ごとに決められた区画の ゴミを拾っていってください。,Split up in groups that were decided for you and then please start picking up garbage.
みんなの公園をこんなに汚して… これも悪い大人の仕業だな。,Everyone polluted this park that much. This must be the fault of rotten adults too.
特殊な器具の扱いにも心得があるようね。,You probably had knowledge about how to use some special tools, right?
うえ。おまえ、埃っぽいぞ。 さっさと着替えてくれ。,Uhh, you look dusty (covered in dust). Go and change clothes already.
やることはやったし、 後は結果を待つしかねえな。,We did what we could do, now we have no choice but to wait for the result.
貴方、花粉は大丈夫？,Are you (feeling) ok in the pollen?
良い薬があるの。 1体で治ると思うから。理論的には。,I think I have some good medicine that will heal it in one go. Theoretically.
私の名前、業界的なブラックリストに ばっちり載ってるの。,My name is completely placed in the blacklist in the industry.
前の職場…都内の大学病院に 勤めてた時の話。,It has something to do with my old workplace, at that time I was working in a university hospital in Tokyo area.
良かったら、色々教えてください。 毎日の日課とか…ストレッチの種類とか。,If that's ok please teach me a lot of things. Like your daily routine for example...do you do a lot of stretching?
『こんな雑誌のモデル、どうでもいい』って ことですか！？,So you mean that you don't care about modeling for this magazine, is that it?
と言いたいところだけど、今日はラッキーデイだ！ テーブルの上にご注目！,...Or I would say that but today is a lucky day! Observe! On the top of the table.
うん、遠慮せずどうぞ。 おかわりもあるからね？,Yeah, eat without holding back. There's more where that came from.
主人公のSPが減少している時に、 自身のSPを回復することがある,When protagonist's SP is reduced he has a chance to recover it.
すみません、 子供を診てほしいのですが...,Excuse me, I want you to examine my child...
これまでの検査内容と薬、 本当にさっき言ってたのだけ？,Are you certain that you've told me everything about inspection results up until now?
そう言えば、彼は助手の先生…ですか？ 随分と若いけど…,That said, is he your assistant? He seems terribly young...
でも、告訴するにしても 個展終わってからでしょ？,But to in order for him to press charges exhibition has to end, right?
あー聞いた事ある、怪盗団。悪い心を盗むんだって。 だから犯人、自分から謝罪しちゃうって話。,Ah, I've heard of them before. Phantom thieves. They steal evil hearts, that's why culprits apologize themselves.
変な事件も多い、 例の画家のニュース騒がしいしね。,There're a lot of weird incidents. The news about the painter before made a lot of noise.
今まで以上に警戒した方がいいぜ。,We better stay alert from now and moving forward.
まあ、祐介も一人になって、 いつでも集まり易くなったけどな。,Well, because Yusuke just started living by himself, it's gonna be easy to come together anytime.
鈴井志帆に続いて、 また面識の浅い他人の為にやったっていうの？,So after Suzui Shiho you again did it for sake of some acquaintance you knew for a short time, is that it?
喋る気はない,I have no intention of telling you that
この頃からよね。 怪盗団人気に火が点き始めたのは。,It started around that time, right? The fire of Phantom Thieves popularity has begun to burn.
ネットに嘘が溢れて『自分にも予告状が届いた』 だの、『怪盗に助けられた』だの…,"Internet started brimming over with lies. ""A calling card got delivered to me"" or ""I was saved by Phantom Thieves"" and such..."
情報収集の手間が10倍になったわよ…,Gathering information became 10 times more time consuming...
次の標的はこの男…,Your next target was this man...
ここまでの「あらすじ」が更新されました。,The summary up until now has been updated.
秀尽学園の鴨志田、そして今回の斑目… 共通点がいくつか見つかっています。,Kamoshida of the Shujin Academy and Madarame in this case. I've found several things in common in those cases.
そういえば、今回は無料券を使ったが 次に遊ぶ時からは有料なんだな。,By the way, this time we used our free coupon. Starting from next time playing here won't be free.
全てを損得だけで決めるなら、心なんて必要ない。 機械にだって出来る…それで生きたと言えますか？,Deciding everything only based on losses and gains, something like a heart is not necessary for that. We can even be like machines...but is that a way to live?
次の選挙で、早くも落選。 自分の力じゃなかったと思い知らされた。,At the next election I was quickly defeated. I was made to realise that I was elected (first time) not because of my abilities.
政治の基礎は心得ているから、 吉田は、いい先生になると思うよ。,You have fundamental understanding of politics. Yoshida, I think you'll become a great teacher.
ただ…君がもし、本当に選挙で勝って 議員になるつもりなら、参考程度にしとくんだな。,But in case you really want to win an election and have an intention to become a member of parlament, you better follow his consultation.
なんか番組収録見れるらしいよ！ 女優とかいるんじゃない？,We'll be able to see them recording a show or somethink like that! There could be actresses there, right?
そのままだと濡れる,You'll get wet this way
夏の始まりと終わりに、 大きな大会あるんです。,There're some big tournaments at the start and at the end of summer
けど、そういう特別扱いみたいなの なんか嫌じゃないですか。,But a special treatment like that...I don't really want that.
ここからは新しいエリアって事だな。 なんとなく、構造が分かって来た…,From here on it's a new area. For one reason or another I've come to understand the structure of this place
今日は校長が不在なの。 明日、確認するから待って。,Headmaster is absent today. Wait till tomorrow, I'll confirm that with him
とはいえ情報もないし、 ミシマが尻尾をつかむのを待つしかないか。,Notetheless, we don't have information. We have no choice but to wait for Mishima to catch them by their tail.
私の医療ミスの事も教えたのに…,Even though I told them about my medical treatment error ...
『クロフォード・エンデ病』。 私が新薬開発を指揮していた、難病の名前。,"I supervised the development of a new drug for an incurable disease called ""Crowford-Ende disease"""
筋肉が攻撃されると日常生活に支障をきたす。 けれど、死に至るには時間がかかる…,When it attacks muscles that causes difficulties in patient's daily life. And although it takes time to lead to death...
新薬の開発者になって大出世？ それともくだらない名誉欲？,He became supevisor of a new drug to have a successful career? Or maybe it was some foolish desire for glory?
新薬の開発は凍結されたから、 もうあの病院にいる必要もなくなったし。,Because they suspended the development of this new drug, it became unnecessary for me to be in that hospital anymore.
そしたら、募金っていうか… 予想以上の額、集まっちゃって。,And then, about the fund-raising... I've gathered a sum way beyond expectations.
前にニュースで見たんだけど、 目的を偽った募金活動は詐欺になるとか…,I saw that before on the news. Their goal was to deceive people by collecting their money. It turned out to be a scam...
うん、我ながら大衆心理を掴んだ戦略… やっぱ、俺、こういう事の才能あるのかも。,Yeah, as long as I do this strategy of keeping a grip on general public's state of mind... As you would expect I have a talent for things like that.
校長もセクハラのこと知ってたのに、 放置してたんだって。,Even though principal knew about sexual harassment, he just left it as is.
広く情報を募れば、 調査が捗るだろうと思ってね。,I thought that if we expand our ways to gather information(by recruiting people), your investigation would make good progress.
秀尽学園内に、犯罪組織に脅されている 生徒がいるようなんです。,There're students in the Shujin Academy who are being threatened by a criminal organization.
掲示を見た生徒から相談があり… 対策をお願いできませんか？,I saw it on a placard and discussed it with students... May I ask you to come up with measures against that?
その犯罪組織とやらの話を追えば、 怪盗の手掛かりも得られるに違いない！,If you pursue these rumors about the criminal organization, the for sure you'll be able to obtain clues on Phantom Thieves!
どっかその辺に 大物転がってねえかな…,Bigshots aren't just lying around somethere in our area...
もしかして次のターゲットに 芸能人なんていいんじゃないか？,Could the next target be some sort of performer or something?
筋がいいですね、先輩。 柔軟性が高いし、上達も早いです！,You have good muscles, don't you, senpai? You have very high flexibility and improving very fast!
ちょっと、いま調子悪くて。 複雑な動きを実演できるか不安です。,My physical condition is quite bad now. I'm nervous about my ability to demonstrate these complicated moves.
実は私… 最近、スランプ気味…なんです。,To tell you the truth... I'm in a bit of a slump lately.
でも…高校に入ってからスランプになっちゃって。 身長が伸びたり、その…環境の変化とか。,But since I got into high school, I've in that slump. My height got higher and my environment changed...
かすみは慌てて走り去っていた…,Kasumi ran off in a hurry...
宇宙は体験出来なかったが、 味は悪くなかったぞ。,We didn't get to have a hands-on space experience, but the taste wasn't too bad.
退屈なのは分かるけど、 頼むから問題だけは起こさないでよ。,I understand you're feeling bored, but please, just don't cause trouble.
あー…『ドームタウン』か？　丸いアレは野球場だな。 あと周りは遊園地。,Ah, you mean Dome town? Round thing is a baseball stadium. And around it is the amusement park.
気分ワル… マジ、酔った…,I feel bad...like really sick...
なんでも、探偵として、 いま気になっている事件があるとか。,I heard that as an investigator you have some sort of case that you're interested in.
もし仮に、怪盗がいるとして… 彼らのこと、どう思いますか？,Supposing Phantom Thieves exist, what do you think of them?
そういう仮定の話です。 でも、決して無視はできない。,I say this hypothetically, but we can't ignore them by no means(if they exist).
怪チャンの運営と管理だけじゃなくて、 もっともっと怪盗団が有名になれるようにさ！,I want to not only manage and control the Phan-site, but to be able to make the Phantom thieves more and more famous!
調理器具の棚がある。 鍋はあるだろうか…,There's a shelf with cooking tools. There's probably a pot here...
あなたも将来の為に、 今やるべきことだけに目を向けなさい。,For the sake of your future you better direct your attention only to currently necessary things.
互いを知るにはいい機会だ。,That's a great chance for us to get to know each other.
学校は『みんな平等』と教えるが、 現実は、そんな綺麗事ばかりじゃない…,At schools they teach that everyone is equal, but reality isn't so pretty at all...
「ガキが、いきなり俺に乱暴をしてきた」ってな。,Tell them that this kid assaulted me all of the sudden.
それに僕は自分に備わった才能を使って　 世のために奉仕しているにすぎない。,Besides, I only use the talent that I'm provided with(that I have) merely in order to serve this world
なんで、私ばかり責められるの…,Why am I the only one getting criticized?